kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 73 : 1024 11744 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 72 : 1024 71840 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 71 : 1024 41472 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 70 : 1024 102720 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 69 : 1024 455680 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 68 : 1024 585568 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 67 : 1024 127968 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 66 : 1024 260928 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 65 : 1024 434176 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 64 : 1024 320064 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 63 : 1024 443456 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 62 : 1024 331136 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 61 : 1024 416832 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 60 : 1024 369504 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 59 : 1024 47936 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 42 : 1024 321568 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 41 : 1024 11744 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 40 : 1024 11552 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 39 : 1024 11872 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 38 : 1024 12352 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 37 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 36 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 35 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 34 : 1024 6912 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 33 : 1024 9056 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 32 : 1024 13504 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 31 : 1024 13312 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 30 : 1024 20704 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 43 : 1024 8704 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 44 : 1024 8416 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 45 : 1024 12672 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 46 : 1024 8480 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 47 : 1024 10912 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 48 : 1024 396864 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 49 : 1024 408608 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 50 : 1024 329024 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 51 : 1024 497568 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 52 : 1024 373184 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 53 : 1024 392352 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 54 : 1024 391552 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 55 : 1024 215424 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 56 : 1024 394304 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 57 : 1024 17088 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_one_c.1.sm_80.ptx 58 : 1024 48448 0 0 0 0 0 0 0 
